t1,t2,seqnr
1678786254367314722,1678786254369152588,491
1678786254467159606,1678786254469156045,492
1678786254567204092,1678786254569169979,493
1678786254667301918,1678786254669146979,494
1678786254767327907,1678786254769149287,495
1678786254867305771,1678786254869137213,496
1678786254967301296,1678786254969147457,497
1678786255067303613,1678786255069153449,498
1678786255167302022,1678786255169151498,499
1678786255267296721,1678786255269153321,500
1678786255367302829,1678786255369128365,501
1678786255467302419,1678786255469170075,502
1678786255567142737,1678786255569159911,503
1678786255667298139,1678786255669153132,504
1678786255767302883,1678786255769153989,505
1678786255867304879,1678786255869162808,506
1678786255967305753,1678786255969158250,507
1678786256067306344,1678786256069146186,508
1678786256167301320,1678786256169149409,509
1678786256267302238,1678786256269150196,510
1678786256367302263,1678786256369146212,511
1678786256467300438,1678786256469153940,512
1678786256567142173,1678786256569166911,513
1678786256667319047,1678786256669146776,514
1678786256767302161,1678786256769148356,515
1678786256867302475,1678786256869150811,516
1678786256967300729,1678786256969149817,517
1678786257067165830,1678786257069151005,518
1678786257167215423,1678786257169149801,519
1678786257267293811,1678786257269150140,520
1678786257367305756,1678786257369149956,521
1678786257467303362,1678786257469150496,522
1678786257567148209,1678786257569166825,523
1678786257667324180,1678786257669131762,524
1678786257767159523,1678786257769139296,525
1678786257867297997,1678786257869149985,526
1678786257967304451,1678786257969137321,527
1678786258067325221,1678786258069137372,528
1678786258167301844,1678786258169149324,529
1678786258267305051,1678786258269150328,530
1678786258367312058,1678786258369155321,531
1678786258467298113,1678786258469139220,532
1678786258567143115,1678786258569174753,533
1678786258667289872,1678786258669159238,534
1678786258767302955,1678786258769138544,535
1678786258867300427,1678786258869150267,536
1678786258967303269,1678786258969155930,537
1678786259067198611,1678786259069150274,538
1678786259167309805,1678786259169149702,539
1678786259267304097,1678786259269147760,540
1678786259367303175,1678786259369149518,541
1678786259467302873,1678786259469148882,542
1678786259567309543,1678786259569170688,543
1678786259667185265,1678786259669150020,544
1678786259767315402,1678786259769150159,545
1678786259867304210,1678786259869152512,546
1678786259967303432,1678786259969155208,547
1678786260067305040,1678786260069155034,548
1678786260167303636,1678786260169151033,549
1678786260267165020,1678786260269152020,550
1678786260367304970,1678786260369152677,551
1678786260467163298,1678786260469155038,552
1678786260567302015,1678786260569181271,553
1678786260667317736,1678786260669147859,554
1678786260767301098,1678786260769150479,555
1678786260867302431,1678786260869146745,556
1678786260967280283,1678786260969152964,557
1678786261067164127,1678786261069146532,558
1678786261167302684,1678786261169149481,559
1678786261267306720,1678786261269152563,560
1678786261367305322,1678786261369143193,561
1678786261467293666,1678786261469141818,562
1678786261567302936,1678786261569158092,563
1678786261667327748,1678786261669138650,564
1678786261767304164,1678786261769147575,565
1678786261867304540,1678786261869137582,566
1678786261967311503,1678786261969155665,567
1678786262067174837,1678786262069141227,568
1678786262167212565,1678786262169138528,569
1678786262267170299,1678786262269150487,570
1678786262367215624,1678786262369138622,571
1678786262467298475,1678786262469153014,572
1678786262567302925,1678786262569163937,573
1678786262667321143,1678786262669149874,574
1678786262767303355,1678786262769147072,575
1678786262867144319,1678786262869154876,576
1678786262967308630,1678786262969152829,577
1678786263067302785,1678786263069150546,578
1678786263167309980,1678786263169150826,579
1678786263267303367,1678786263269150153,580
1678786263367302380,1678786263369155318,581
1678786263467297255,1678786263469156166,582
1678786263567293642,1678786263569179938,583
1678786263667307702,1678786263669150031,584
1678786263767321799,1678786263769150116,585
1678786263867170911,1678786263869149415,586
1678786263967303004,1678786263969149675,587
1678786264067326647,1678786264069138863,588
1678786264167306316,1678786264169164525,589
1678786264267299113,1678786264269154736,590
1678786264367302972,1678786264369152579,591
1678786264467300623,1678786264469156367,592
1678786264567304439,1678786264569168341,593
1678786264667313888,1678786264669150088,594
1678786264767161005,1678786264769147234,595
1678786264867168974,1678786264869149247,596
1678786264967300438,1678786264969149217,597
1678786265067286059,1678786265069146847,598
1678786265167300940,1678786265169149335,599
1678786265267304651,1678786265269137792,600
1678786265367302746,1678786265369147567,601
1678786265467166424,1678786265469157758,602
1678786265567302577,1678786265569167211,603
1678786265667179945,1678786265669149517,604
1678786265767301683,1678786265769152522,605
1678786265867283024,1678786265869149862,606
1678786265967306718,1678786265969137053,607
1678786266067303041,1678786266069136606,608
1678786266167216233,1678786266169138763,609
1678786266267167626,1678786266269148898,610
1678786266367305668,1678786266369137818,611
1678786266467302092,1678786266469152489,612
1678786266567303874,1678786266569163873,613
1678786266667335013,1678786266669139590,614
1678786266767165984,1678786266769148339,615
1678786266867300467,1678786266869148846,616
1678786266967301592,1678786266969150651,617
1678786267067216954,1678786267069149900,618
1678786267167302435,1678786267169152456,619
1678786267267307141,1678786267269150088,620
1678786267367169877,1678786267369146903,621
1678786267467300176,1678786267469146462,622
